county,year,access_to_exercise_opps,limited_access_to_healthy_food,adult_obesity,physical_inactivity,excessive_drinking,diabetic_screening,adult_smoking,diabetes,median_household_income,population,pop_over_65,pop_under_18,access_to_recreational_facilities,access_to_healthy_foods,binge_drinking,colorectal_cancer_incidence_rate,pop_between_18_and_65
Accomack,2011,NA,NA,31.4,29.8,14.8,87.2414,23.7,11.8,37564,38462,17.3,23.4,13,22.2,12,NA,59.300000000000004
Albemarle,2011,NA,NA,23.9,19,16.3,83.1502,14.2,8.6,66606,94908,12.9,22.1,13,41.7,15.1,33.2,65
Alleghany,2011,NA,NA,26.4,27,12.5,69.4444,21.8,11.1,42341,16242,19.4,21.5,6,100,11.5,41.9,59.099999999999994
Amelia,2011,NA,NA,29.2,25.1,13.4,84.2857,29.4,11,49180,12886,15.3,21.8,16,50,13.1,NA,62.900000000000006
Amherst,2011,NA,NA,28.4,25.9,8.6,80.0885,18.3,12.2,44966,32482,16.4,22.7,6,100,7.9,36.9,60.89999999999999
Appomattox,2011,NA,NA,29.1,25.1,NA,79.2208,NA,11.9,43529,14552,16.2,21,7,66.7,NA,NA,62.8
Arlington,2011,NA,NA,20.8,17.5,22.3,81.6024,12.1,6.9,97871,217483,8.6,22,15,81.8,19.9,30.1,69.4
Augusta,2011,NA,NA,26.2,26.2,9.7,86.2745,19.7,9.4,52341,72020,14.2,16.5,6,47.1,9.3,39.7,69.3
Bath,2011,NA,NA,27,24.9,NA,81.25,NA,11.2,42446,4482,22,22.1,0,25,NA,NA,55.9
Bedford County,2011,NA,NA,24.9,24.1,10.9,87.3926,19.9,9.1,54715,67154,13.6,18,3,36.4,10.4,34.4,68.4
Bland,2011,NA,NA,27.9,24.4,NA,78.0488,NA,10.6,39841,6791,16.8,22.4,0,25,NA,NA,60.800000000000004
Botetourt,2011,NA,NA,26.7,22.6,10.3,83.8542,14.6,10.4,61778,32551,15.7,17.9,6,50,9.4,43.5,66.4
Brunswick,2011,NA,NA,32.8,28.9,11.7,81.3559,25,12.5,35876,17514,15.6,21.3,6,9.1,11.3,NA,63.10000000000001
Buchanan,2011,NA,NA,30.9,32.3,10.1,80.137,29.4,13.3,26571,22860,14.2,18.1,4,54.5,9.7,NA,67.69999999999999
Buckingham,2011,NA,NA,31,28.7,13.1,80,NA,12.2,38576,16080,13.1,19.6,6,16.7,12.8,NA,67.30000000000001
Campbell,2011,NA,NA,28.5,23.6,9.8,81.6733,22.7,10.5,43055,52976,15.4,19.3,8,42.9,9.2,39.8,65.3
Caroline,2011,NA,NA,29.4,24.4,12.5,82.5758,NA,10.7,53796,27870,12.7,21.6,0,33.3,12.5,NA,65.69999999999999
Carroll,2011,NA,NA,29.9,27.3,10.5,85.4651,37.4,12,35651,29034,18.6,23.5,7,28.6,9.9,44,57.900000000000006
Charles City,2011,NA,NA,33,28.5,NA,91.6667,NA,14.5,50958,7217,18.2,19.7,0,100,NA,NA,62.099999999999994
Charlotte,2011,NA,NA,28.3,27.2,6.2,83.4783,19.8,11.5,34145,12039,19.2,18.3,16,40,5.9,NA,62.5
Chesterfield,2011,NA,NA,27.3,21.4,14.9,88.9289,18.1,8.6,71327,306670,8,22.5,13,66.7,13.5,41.1,69.5
Clarke,2011,NA,NA,26.3,22.6,13.5,90.625,13.5,10.3,66296,14588,16.2,26.5,7,40,12.2,NA,57.3
Craig,2011,NA,NA,26,24.5,NA,75.7576,12.1,9.5,45703,4969,15.9,21.2,0,100,7.1,NA,62.89999999999999
Culpeper,2011,NA,NA,28.8,24.3,14.5,88.2353,21.2,9.1,63248,46502,11.7,20.4,11,23.1,11.8,40.9,67.9
Cumberland,2011,NA,NA,30.7,27.4,NA,88.0682,NA,11.6,40157,9757,16.3,25.9,0,50,NA,NA,57.800000000000004
Dickenson,2011,NA,NA,29.4,29.3,6.1,83.3333,36.5,10.5,27680,16087,16.3,22.1,0,42.9,6.1,NA,61.6
Dinwiddie,2011,NA,NA,31.2,25.2,14.2,79.5775,35.2,11.6,50186,26338,11.7,20.4,8,37.5,13.4,NA,67.9
Essex,2011,NA,NA,31.3,29.9,8.3,84.5361,NA,12.8,43511,11189,18,22.2,36,12.5,8.3,NA,59.8
Fairfax,2011,NA,NA,22.7,18.9,18.4,83.1078,12.5,7.8,107075,1037605,9.8,21.5,13,82.6,16.1,29.1,68.7
Fauquier,2011,NA,NA,26.4,22.4,14.5,85.8824,19.7,9.5,81359,68010,11.7,24.9,15,40,12.3,31.7,63.4
Floyd,2011,NA,NA,25.7,23.3,14.1,92.4242,NA,9.5,41514,15013,17.2,25.1,7,20,12.7,NA,57.699999999999996
Fluvanna,2011,NA,NA,28.2,23.3,17.1,88.4774,9.5,10.6,64289,25732,14.7,20.8,16,60,14.8,NA,64.5
Franklin,2011,NA,NA,26.3,23.5,10.1,84.8387,26.1,10.2,45758,51924,16.3,22.7,8,30,9.5,36.5,61
Frederick,2011,NA,NA,29.1,24,13.7,90.9524,21.7,9.1,61295,74972,11.4,20.5,12,44.4,12.2,42.8,68.1
Giles,2011,NA,NA,24.7,25.7,8.6,91.0569,26.4,11.1,43322,17358,16.9,25.6,0,22.2,8.5,NA,57.49999999999999
Gloucester,2011,NA,NA,25.7,22.2,16.4,84.7291,23.8,9.6,56922,39184,13.7,21.5,8,50,14.6,NA,64.8
Goochland,2011,NA,NA,26,22.6,14.1,91.8367,18.5,9.5,76688,21311,13,22.2,5,20,12.5,49.2,64.8
Grayson,2011,NA,NA,26.6,28.3,8.8,89.916,NA,11.6,32399,15793,20.8,19.9,0,16.7,8.2,NA,59.300000000000004
Greene,2011,NA,NA,27.5,23.1,NA,89.8551,NA,8.7,59321,18421,12.5,18.6,5,66.7,NA,NA,68.9
Greensville,2011,NA,NA,32.1,27.8,5.5,NA,13.7,11.3,36926,12049,10.8,25.4,0,100,5.5,NA,63.800000000000004
Halifax,2011,NA,NA,30.9,33.2,7.7,84.4512,22.8,14.7,34580,35258,19.8,18.4,8,66.7,5.9,39.1,61.800000000000004
Hanover,2011,NA,NA,25.8,19.7,19.9,86.3636,20.3,9.3,77935,99933,12.8,22,15,87.5,19.1,50.5,65.2
Henrico,2011,NA,NA,27,23,18.1,84.9604,15.5,9.1,61300,296415,12.7,25,18,92.9,16.1,41.2,62.3
Henry,2011,NA,NA,28.2,30.1,11,83.557,31,12,33479,54888,17.5,23.8,9,71.4,10.7,57.1,58.7
Highland,2011,NA,NA,25.4,25,NA,90.9091,NA,11.4,38088,2338,24.1,20.5,0,16.7,NA,NA,55.400000000000006
