fips,county,year,population,x18,x65_and_over,african_american,american_indian_alaskan_native,asian,native_hawaiian_other_pacific_islander,hispanic,percent_not_proficient_in_english,female,rural,diabetes,physical_inactivity.x,percent_high_housing_costs,percent_free_lunch,percent_drive_alone,percent_diabetic,percent_illiterate,zip_codes_with_healthy_foods,number_zip_codes.x,percent_healthy_foods,percent_park_access,percent_food_insecure,number_limited_access.x,percent_limited_access.x,percent_asian,number_food_insecure,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_insufficient_sleep,segregation_index,segregation_index_2,percent_free_or_reduced_lunch,percent_limited_access_to_healthy_foods,deaths,ypll_rate,percent_fair_poor,physically_unhealthy_days,mentally_unhealthy_days,percent_lbw,percent_smokers,percent_obese,percent_excessive_drinking,sti_cases,rates_per_100_000,teen_births,percent_uninsured,pcp_no,no_of_medicare_enrollees,acsc_rate,percent_hb_a1c,mammography_rate,afgr,psed,percent_unemployed,percent_children_in_poverty,percent_no_social_emotional_support,percent_single_parent_households,violent_crimes,pm_days,ozone_days,zip_codes_with_healthy_food,number_zip_codes.y,percent_healthy_food,rec_facs,rec_fac_rate,physical_inactivity.y,motor_vehicle_deaths,number_pcp,number_medicare_enrollees,number_diabetics,number_households,number_limited_access.y,percent_limited_access.y,number_fast_foods,percent_fast_foods,live_births,percent_physically_inactive,dentist_ratio,percent_mammography,percent_some_college,annual_violent_crimes,average_daily_pm25,percent_pop_in_viol,number_rec_facilities,rec_facility_rate,food_environment_index,percent_with_access,percent_alcohol_impaired,mhp_ratio,graduation_rate,injury_deaths,number_household_with_severe_problems,percent_severe_housing_problems,number_deaths,number_live_births,number_primary_care_physicians,number_mental_health_providers,preventable_hosp_rate,percent_receiving_hb_a1c,number_associations,number_violent_crimes,number_injury_deaths,presence_of_violation
51001,Accomack,2011,38462,22.1,17.3,28.3,0.4,0.3,0.1,9.9,5.8,51.4,80.8,11.8,29.8,30.5,53,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,9902.5,19.9,3.4,3.7,9.57,23.7,31.4,14.8,204,534.3,552,24.6,10,11043,63.4117,87.2414,64.5349,70,41.2,6.6,29.7,21.5,42.4,264,1,1,6,27,22.2,5,13,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51003,Albemarle,2011,94908,21.5,12.9,9.8,0.2,5,0,3.9,4.3,51.8,48.2,8.6,19,33.3,16.2,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,4927.2,7.3,2.4,2.5,6.68,14.2,23.9,16.3,176,187.1,440,20.8,203,19527,54.7974,83.1502,70.7407,75,75.8,5.1,8.3,16.3,21.2,465,0,0,5,12,41.7,12,13,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51005,Alleghany,2011,16242,21.8,19.4,5.6,0.2,0.4,0,0.8,0.8,51,70.5,11.1,27,20.4,31.5,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,10385.2,14.9,3.7,4.4,9.14,21.8,26.4,12.5,16,98.8,152,14.6,13,1567,140.7996,69.4444,85.7143,80,58.6,9.4,17.9,23.1,23.9,43,0,0,1,1,100,1,6,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51007,Amelia,2011,12886,22.7,15.3,23.3,0.3,0.3,0,1.1,2.1,50.7,100,11,25.1,28.7,36.4,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,9946,22.4,4.4,5.1,7.51,29.4,29.2,13.4,38,296.7,122,23.8,1,2776,59.8335,84.2857,65.3061,80,31.9,7.6,13.1,NA,32.8,49,2,0,1,2,50,2,16,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51009,Amherst,2011,32482,21,16.4,19.2,0.8,0.4,0,1.5,1,52.5,63,12.2,25.9,21.1,31.6,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,8230.4,21,4.2,3.1,7.61,18.3,28.4,8.6,119,365.7,266,16.9,8,8137,73.7196,80.0885,58.4615,75,49.9,7.6,17.4,NA,31,128,0,0,3,3,100,2,6,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51011,Appomattox,2011,14552,22,16.2,21.7,0.2,0.2,0,0.9,0.8,51.4,100,11.9,25.1,20,34.4,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,8285.2,11,3.5,2,8.75,NA,29.1,NA,31,213.8,143,19.9,2,3201,75.2692,79.2208,59.4203,65,41.5,7.8,20,NA,39.7,32,0,0,2,3,66.7,1,7,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51013,Arlington,2011,217483,16.5,8.6,8.4,0.5,8.6,0.1,17.1,9.9,49.5,0,6.9,17.5,31.9,24,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,3880,8.3,2.5,2.4,6.2,12.1,20.8,22.3,484,230.5,668,21.8,252,29438,42.8311,81.6024,62.6506,75,86,4.2,8.8,17.4,24.9,1069,2,17,9,11,81.8,31,15,NA,NA,NA,NA,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51015,Augusta,2011,72020,22.1,14.2,4.7,0.2,0.4,0,2,0.7,49.3,77.8,9.4,26.2,26.5,23.5,84.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841,6748.8,10.3,2.8,3.2,7.47,19.7,26.2,9.7,130,182.5,547,15.5,37,12526,60.0184,86.2745,71.1111,80,41.2,6.6,10.8,20.1,25.4,217,0,0,8,17,47.1,4,6,NA,NA,NA,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51017,Bath,2011,4482,18,22,7.7,0.2,0.4,0.1,0.4,0.3,49.6,100,11.2,24.9,22.3,21.4,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,8023.7,NA,NA,NA,NA,NA,27,NA,5,110,NA,22.3,3,1006,149.2343,81.25,NA,80,32.4,6.4,12.3,NA,29.3,2,0,0,1,4,25,0,0,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51019,Bedford,2011,67154,22.4,13.6,6.8,0.2,0.8,0,1.3,1,50.2,85.2,9.1,24.1,23.3,21.8,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736,6699,15.5,4.1,3.8,8.04,19.9,24.9,10.9,82,122.7,368,17.6,41,17451,56.3994,87.3926,70.4268,80,58.2,6.5,10.3,18.9,22.1,173,0,0,4,11,36.4,2,3,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
